06.06.25 Dynamic List Display                                                  1


	/BIC/MD_RS	TXTLG
	      0055	KICKSTANDS AND ACCESSORIES COMPANY
	      0056	LATEST ACCESSORIES SALES
	      0057	LEADING SALES & REPAIR
	      0058	LARGEST BIKE STORE
	      0059	LOCKS COMPANY
	      0060	MAIN BICYCLE SERVICES
	      0061	MANY BIKES STORE
	      0062	MANUFACTURERS INC
	      0063	METRO BIKE MART
	      0064	METAL CLEARING HOUSE
	      0065	METRO MANUFACTURING
	      0066	NEIGHBORHOOD STORE
	      0067	SELF-CONTAINED CYCLE PARTS COMPANY
	      0068	NORTH BIKE COMPANY
	      0069	ONLINE BIKE CATALOG
	      0070	OUTDOOR AEROBIC SYSTEMS COMPANY
	      0071	OUTDOOR DISTRIBUTORS
	      0072	OUTDOOR EQUIPMENT STORE
	      0073	OUTDOOR SPORTS SUPPLY
	      0074	PARCEL EXPRESS DELIVERY SERVICE
	      0075	PAINT SUPPLY
	      0076	OUT-OF-THE-WAY HOTELS
	      0077	MECHANICAL PRODUCTS LTD.
	      0078	PREFERRED BIKES
	      0079	REASONABLE BICYCLE SALES
	      0080	RACKS AND SECURITY SYSTEMS
	      0081	RALLY DAY MALL
	      0082	REFINED DEPARTMENT STORES
	      0083	REQUISITE PART SUPPLY
	      0084	REWARDING ACTIVITIES COMPANY
	      0085	ROADWAY BICYCLE SUPPLY
	      0086	BICYCLE EXPORTERS
	      0087	RICH DEPARTMENT STORE
	      0088	CLOSEST BICYCLE STORE
	      0089	RIVERSIDE COMPANY
	      0090	SALES AND SUPPLY COMPANY
	      0091	SCOOTERS AND BIKES STORE
	      0092	SPORTS COMMODITIES
	      0093	STATIONARY BIKES AND STANDS
	      0094	SPECIALTY SPORTS STORE
	      0095	RURAL DEPARTMENT STORE
	      0096	MORE BIKES!
	      0097	MOUNTAIN BIKE CENTER
	      0098	SUPERLATIVE BIKES
	      0099	UNIFIED SPORTS COMPANY
	      0100	UP-TO-DATE SPORTS
	      0101	URBAN SPORTS EMPORIUM
	      0102	NATIONAL MANUFACTURING
	      0103	THE BIKE OUTLET
	      0104	VERY BEST SPORTS SUPPLY
	      0105	VOLUME BIKE SELLERS
	      0106	WEST SIDE MART
	      0107	WHOLESALE BIKES
	      0108	WHEELSETS STOREHOUSE
	      0109	TRAVEL SPORTS
	      0110	VINTAGE SPORT BOUTIQUE
	      0111	WESTSIDE CYCLE STORE
	      0112	TOWN INDUSTRIES
	      0113	TRENDY DEPARTMENT STORES
	      0114	TWO WHEELS CYCLE STORE
	      0115	SECURITY RACKS AND LOCKS WHOLESALERS
	      0116	RETIREMENT ACTIVITIES ASSOCIATION
	      0117	PEDALS WAREHOUSE
	      0118	RAPID BIKES
	      0119	RED BICYCLE COMPANY
	      0120	MACHINES & CYCLES STORE
	      0121	METRO SPORTS EQUIPMENT
	      0122	OFF-PRICE BIKE CENTER
	      0123	FIRST SUPPLIES
	      0124	NEARBY SPORTING GOODS
	      0125	IMMEDIATE REPAIR SHOP
	      0126	FAMOUS BIKE SALES AND SERVICE
	      0127	FRONT SPORTING GOODS
	      0128	DEMAND DISTRIBUTORS
	      0129	DISCOUNT BICYCLE SPECIALISTS
	      0130	ELITE BIKES
	      0131	EIGHTH BIKE STORE
	      0132	ANOTHER SPORTING GOODS COMPANY
	      0133	COMMERCIAL SPORTING GOODS
	      0134	BUDGET BIKE COMPANY
	      0135	WONDERFUL BIKES INC.
	      0136	WHOLESALE PARTS
	      0137	TRANSPORTATION OPTIONS
	      0138	SOUTH BIKE COMPANY
	      0139	STEEL INC.
	      0140	TEEN DISCOUNT STORE
	      0141	RENTAL GALLERY
	      0142	RIDING CYCLES
	      0143	MODERN BIKE STORE
	      0144	ONLY BIKES AND ACCESSORIES
	      0145	RAW MATERIALS INC
	      0146	LATEST SPORTS EQUIPMENT
	      0147	LOCAL HARDWARE FACTORY
	      0148	LOTS OF BIKES STOREHOUSE
	      0149	INITIAL BIKE COMPANY
	      0150	FLEET BIKES
	      0151	FUTURISTIC BIKES
	      0152	DISTANCE BIKES
	      0153	WIDGET BICYCLE SPECIALISTS
	      0154	CAMPING AND SPORTS STORE
	      0155	CORNER BICYCLE SUPPLY
	      0156	METAL PROCESSING COMPANY
	      0157	ACE BICYCLE SUPPLY
	      0158	RURAL SPORTING GOODS
	      0159	UNCOMPROMISING QUALITY CO
	      0160	VIGOROUS SPORTS STORE
	      0161	WEEKEND TOURS
	      0162	TIRE COMPANY
	      0163	SPORTS MERCHANDISE
	      0164	SUBURBAN CYCLE SHOP
	      0165	THIRD BIKE STORE
	      0166	FITNESS TOY STORE
	      0167	FARTHERMOST BIKE SHOP
	      0168	ECONOMY BIKES COMPANY
	      0169	DOWNTOWN HOTEL
	      0170	EXCELLENT RIDING SUPPLIES
	      0171	EIGHTY TOY STORES
	      0172	CERTIFIED SPORTS SUPPLY
	      0173	SUNDRY SPORTING GOODS
	      0174	TOY MANUFACTURING INC
	      0175	REGISTERED CYCLE STORE
	      0176	RODEWAY BIKE STORE
	      0177	PLASTIC PRODUCTS MANUFACTURERS
	      0178	RAMPART AMUSEMENT COMPANY
	      0179	FOURTH BIKE STORE
	      0180	FULL-SERVICE BIKE STORE
	      0181	FAMILY ENTERTAINMENT CENTER
	      0182	ANOTHER BICYCLE COMPANY
	      0183	THIS AREA SPORTING GOODS
	      0184	GO-CART AND BIKE SPECIALISTS
	      0185	WEEKEND BIKE TOURS
	      0186	THRILLING BIKE TOURS
	      0187	TRAILBLAZING SPORTS
	      0188	VARIETY BIKE OUTLET
	      0189	PRINCIPAL BICYCLE SUPPLY
	      0190	RACING PARTNERS
	      0191	NON-SLIP PEDAL COMPANY
	      0192	NUTS AND BOLTS MFG.
	      0193	PERFECT TOYS
	      0194	MECHANICAL BRAKE MANUFACTURERS
	      0195	INEXPENSIVE PARTS SHOP
	      0196	EXHIBITION SHOWROOM
	      0197	FABRIKAM INC., WEST
	      0198	FIELD TRIP INC
	      0199	AUTHORIZED BIKE SALES AND RENTAL
	      0200	BASIC BIKE COMPANY
	      0201	UNSURPASSED BIKES
	      0202	TWO-SEATER BIKES
	      0203	SEPARATE PARTS CORPORATION
	      0204	TRACTION TIRE COMPANY
	      0205	RALLY MASTER COMPANY INC
	      0206	NEW AND USED BICYCLES
	      0207	LUBRICANT AND GREASE SUPPLIERS
	      0208	PROFESSIONAL CYCLISTS
	      0209	PURPLE BICYCLE COMPANY
	      0210	GASLESS CYCLE SHOP
	      0211	SPORTS PRODUCTS STORE
	      0212	ENTERPRISE CENTER
	      0213	FAST BIKE WORKS
	      0214	EXCLUSIVE BICYCLE MART
	      0215	ELEVENTH BIKE STORE
	      0216	PAINTERS BICYCLE SPECIALISTS
	      0217	CITY MANUFACTURING
	      0218	SURE & RELIABLE SPORTING GOODS
	      0219	EXTRAS SPORTING GOODS
	      0220	BEST O' BIKES
	      0221	BIKE DEALERS ASSOCIATION
	      0222	SAMPLE BIKE STORE
	      0223	PAINTS AND SOLVENTS COMPANY
	      0224	PEDAL SYSTEMS COMPANY
	      0225	OPTIMAL BIKES
	      0226	LEISURE ACTIVITIES
	      0227	HEALTH SPA, LIMITED
	      0228	HOME TOWN BIKE STORE
	      0229	INSTANT CYCLE STORE
	      0230	GLOBAL BIKE RETAILERS
	      0231	HELMETS AND CYCLES
	      0232	EXCEPTIONAL CYCLE SERVICES
	      0233	FASHIONABLE DEPARTMENT STORES
	      0234	EASTSIDE SPORTING GOODS
	      0235	CERTIFIED BICYCLE SUPPLY
	      0236	CLOSEOUT BOUTIQUE
	      0237	CLIENT DISCOUNT STORE
	      0238	A GREAT BICYCLE COMPANY
	      0239	BICYCLE MERCHANDISE WAREHOUSE
	      0240	WIRE BASKETS AND PARTS
	      0241	VALE RIDING SUPPLIES
	      0242	SPOKE MANUFACTURERS
	      0243	RECREATION SUPPLIES
	      0244	RETAIL DISCOUNT STORE
	      0245	LEATHER SEAT FACTORY
	      0246	LARGE BIKE SHOP
	      0247	MAJOR AMUSEMENT COMPANY
	      0248	GOOD BICYCLE STORE
	      0249	HELPFUL SALES AND REPAIR SERVICE
	      0250	EXPRESS BIKE SERVICES
	      0251	ENDURANCE BIKES
	      0252	CLASSIC CYCLE STORE
	      0253	ROVING SPORTS
	      0254	SAFE CYCLES SHOP
	      0255	SWIFT CYCLES
	      0256	RENTAL BIKES
	      0257	NUMBER 1 SUPPLY
	      0258	QUANTITY DISCOUNTS
	      0259	HIGHWAY BIKE SHOP
	      0260	INDUSTRIAL SUPPLIES
	      0261	FUNCTIONAL STORE NORTH
	      0262	GENERAL INDUSTRIES
	      0263	FARTHEST BIKE STORE
	      0264	FASTENERS & BOLTS OUTLET
	      0265	FULL SPORTS SUPPLY
	      0266	EXCELLENT BIKES
	      0267	CYCLE PARTS AND ACCESSORIES
	      0268	CHANNEL OUTLET
	      0269	CURBSIDE UNIVERSE
	      0270	ACTIVE TRANSPORT INC.
	      0271	ALTERNATIVE VEHICLES
	      0272	METRO CYCLE SHOP
	      0273	A TYPICAL BIKE SHOP
	      0274	ACTIVE SYSTEMS
	      0275	OUTDOOR SPORTING GOODS
	      0276	THRIFTY PARTS AND SALES
	      0277	THE BICYCLE ACCESSORIES COMPANY
	      0278	TREAD INDUSTRIES
	      0279	RELIABLE BRAKE SYSTEMS
	      0280	STANDARD BIKES
	      0281	PETROLEUM PRODUCTS DISTRIBUTORS
	      0282	QUICK PARTS AND SERVICE
	      0283	RACING SUPPLY DISTRIBUTORS
	      0284	NEARBY BIKE MALL
	      0285	NEAREST BIKE STORE
	      0286	NUMBER ONE BIKE CO.
	      0287	HANDY BIKE SERVICES
	      0288	KICKSTAND SELLERS
	      0289	MODERATELY-PRICED BIKES STORE
	      0290	FRIENDLY BIKE SHOP
	      0291	GRAND BICYCLE STORES
	      0292	GREASE AND OIL PRODUCTS COMPANY
	      0293	FASHIONABLE BIKES AND ACCESSORIES
	      0294	FLAWLESS BIKE SHOP
	      0295	ENGINEERED BIKE SYSTEMS
	      0296	EXTREME TOY STORE
	      0297	BLUE-RIBBON BIKE COMPANY
	      0298	CITY CYCLING
	      0299	CITYWIDE SERVICE AND REPAIR
	      0300	NICE BIKES
	      0301	RURAL MOUNTAIN BIKE MART
	      0302	BEST CYCLE STORE
	      0303	SEASIDE BIKE WORKS
	      0304	ESSENTIAL BIKE WORKS
	      0305	PROFESSIONAL SPORTING GOODS
	      0306	WORK AND PLAY ASSOCIATION
	      0307	RIDING ASSOCIATES
	      0308	RUGGED BIKES
	      0309	THE GEAR STORE
	      0310	ORANGE BICYCLE COMPANY
	      0311	PRINCIPAL BIKE COMPANY
	      0312	RESALE SERVICES
	      0313	METROPOLITAN MANUFACTURING
	      0314	ONE-PIECE HANDLE BARS
	      0315	JUVENILE SPORTS EQUIPMENT
	      0316	LOW PRICE CYCLES
	      0317	FINER RIDING SUPPLIES
	      0318	FIRST-RATE OUTLET
	      0319	CYCLES SALES AND REPAIR
	      0320	AMALGAMATED PARTS SHOP
	      0321	SECOND BIKE SHOP
	      0322	TACHOMETERS AND ACCESSORIES
	      0323	METRO BIKE WORKS
	      0324	A BICYCLE ASSOCIATION
	      0325	ALL CYCLE SHOP
	      0326	YEAR-ROUND SPORTS
	      0327	WORLD OF BIKES
	      0328	TOTES & BASKETS COMPANY
	      0329	UNICYCLES, BICYCLES, AND TRICYCLES
	      0330	THE NEW BIKE STORE
	      0331	TECHNICAL PARTS MANUFACTURING
	      0332	TOPNOTCH BIKES
	      0333	RESIDENT CYCLE SHOP
	      0334	RETREAT INN
	      0335	SCRATCH-RESISTANT FINISHES COMPANY
	      0336	PRIMARY BIKE DISTRIBUTORS
	      0337	RECREATION TOY STORE
	      0338	RAMBLING TOURS
	      0339	MAJOR BICYCLE STORE
	      0340	NEARBY CYCLE SHOP
	      0341	INDEPENDENT OUTLET
	      0342	LEATHER AND VINYL MANUFACTURING
	      0343	MAIL-ORDER OUTLET
	      0344	FIFTH BIKE STORE
	      0345	GENIAL BIKE ASSOCIATES
	      0346	GREAT BICYCLE SUPPLY
	      0347	BIKE UNIVERSE
	      0348	BOLD BIKE ACCESSORIES
	      0349	EXERCISE CENTER
	      0350	MOUNTAIN EMPORIUM
	      0351	ACCLAIMED BICYCLE COMPANY
	      0352	TWELFTH BIKE STORE
	      0353	TWO-WHEELED TRANSIT COMPANY
	      0354	SERIOUS CYCLES
	      0355	SPARE PARTS CO.
	      0356	SPEEDOMETER SALES
	      0357	QUALITY BIKE SALES
	      0358	MAIL MARKET
	      0359	MECHANICAL SPORTS CENTER
	      0360	NOVELTY BIKES
	      0361	FITNESS SUPPLIES
	      0362	GRAND CYCLE STORE
	      0363	IMMENSE MANUFACTURING COMPANY
	      0364	DISTRICT MALL
	      0365	DISTINCTIVE STORE
	      0366	EXTENDED BIKE SALES
	      0367	BROWN BICYCLE COMPANY
	      0368	ELEMENTAL SPORTING GOODS
	      0369	DISTINCTIVE CYCLES SALES & SERVICE
	      0370	ACCEPTABLE SALES & SERVICE
	      0371	CUSTOM SALES AND SERVICE
	      0372	TOP BIKE MARKET
	      0373	TOWNSHIP INN
	      0374	MAJOR EQUIPMENT CO
	      0375	REGION BIKE COMPANY
	      0376	COMMERCE BICYCLE SPECIALISTS
	      0377	GRAND SPORT BOUTIQUE
	      0378	GROWN-UP BIKE STORE
	      0379	FAD OUTLET
	      0380	FIRST DEPARTMENT STORES
	      0381	BICYCLE LINES DISTRIBUTORS
	      0382	BENEFICIAL EXERCISES AND ACTIVITIES
	      0383	VEHICLE SHOP
	      0384	SPARKLING PAINT AND FINISHES
	      0385	STURDY TOYS
	      0386	TOURING SERVICES
	      0387	RACING ASSOCIATION
	      0388	ROAD WAY SALES AND RENTAL
	      0389	SIXTH BIKE STORE
	      0390	PLASTIC PARTS COMPANY
	      0391	PRETTY BIKES AND TOYS
	      0392	PRIMARY CYCLE SHOP
	      0393	GEARS AND PARTS COMPANY
	      0394	LITTLE SPORTS CENTER
	      0395	ONLINE BIKE SELLERS
	      0396	EXECUTIVE GIFT STORE
	      0397	CAPABLE SALES AND SERVICE
	      0398	COMMENDABLE BIKES
	      0399	BIG CYCLE MALL
	      0400	LOCAL SALES AND RENTAL
	      0401	BRIGHTWORK COMPANY
	      0402	PRO SPORTING GOODS
	      0403	AFFORDABLE SPORTS EQUIPMENT
	      0404	ACTIVITY CENTER
	      0405	SPORTING GOODS AND BICYCLE SHOP
	      0406	THE COMMISSARY
	      0407	WORKOUT EMPORIUM
	      0408	ODOMETERS AND ACCESSORIES COMPANY
	      0409	OUTDOOR TOY STORE
	      0410	PEDALING COMPONENTS
	      0411	KIDS AND ADULTS CYCLE SHOP
	      0412	LEISURE CLEARING HOUSE
	      0413	MARGIE'S TRAVEL
	      0414	GRAND DISCOUNT STORE
	      0415	IMAGINARY TOYS
	      0416	IMPROMPTU TRIPS
	      0417	GENUINE BIKE SHOP
	      0418	GOOD BIKE SHOP
	      0419	EXERTION ACTIVITIES CLUB
	      0420	EXTREME RIDING SUPPLIES
	      0421	FITNESS CYCLING
	      0422	CONSOLIDATED SALES
	      0423	BIKE RIMS COMPANY
	      0424	BIKES FOR TWO
	      0425	BIKES FOR KIDS AND ADULTS
	      0426	CUSTOM ACCESSORIES COMPANY
	      0427	ATYPICAL BIKE COMPANY
	      0428	WEST WIND DISTRIBUTORS
	      0429	UNUSUAL BICYCLE COMPANY
	      0430	UTTERMOST BIKE SHOP
	      0431	SMALL CYCLE STORE
	      0432	SUPER SPORTS STORE
	      0433	THOROUGH PARTS AND REPAIR SERVICES
	      0434	ROAD-WAY MART
	      0435	SATIN FINISH COMPANY
	      0436	SHEET METAL MANUFACTURING
	      0437	PROFESSIONAL CYCLE STORE
	      0438	REMARKABLE BIKE STORE
	      0439	REGIONAL MANUFACTURING
	      0440	HOBBY STORE
	      0441	LEADING BIKE DISTRIBUTORS
	      0442	ORIGINAL BICYCLE SUPPLY COMPANY
	      0443	COURTEOUS BICYCLE SPECIALISTS
	      0444	FINER CYCLE SHOP
	      0445	FIRST CENTER
	      0446	FITNESS TOYS
	      0447	CROSS-TOWN PARTS SHOP
	      0448	ACTION BICYCLE SPECIALISTS
	      0449	BIKE PRODUCTS AND ACCESSORIES
	      0450	BIKES ANYONE?
	      0451	ROADWAY BIKE EMPORIUM
	      0452	A CYCLE SHOP
	      0453	UNIQUE BIKES
	      0454	SLEEK BIKES
	      0455	TIMELY SHIPPING SERVICE
	      0456	RIDING EXCURSIONS
	      0457	RETAIL SPORTING EQUIPMENT
	      0458	SIMPLE BIKE PARTS
	      0459	PARTS SHOP
	      0460	PRICE-CUTTER DISCOUNT BIKES
	      0461	ACTIVE LIFE TOYS
	      0462	GENERAL RIDING SUPPLIES
	      0463	BRAND NEW BIKES
	      0464	EDUCATIONAL SERVICES
	      0465	EXPERT CYCLE STORE
	      0466	CENTRAL BICYCLE SPECIALISTS
	      0467	THE CYCLE STORE
	      0468	BLUE BICYCLE COMPANY
	      0469	VAST BIKE SALES AND RENTAL
	      0470	WINGTIP TOYS
	      0471	SOCIAL ACTIVITIES CLUB
	      0472	SUMMER SPORTS PLACE
	      0473	RACING TOYS
	      0474	RETAIL CYCLE SHOP
	      0475	REAL SPORTING GOODS
	      0476	NOISELESS GEAR COMPANY
	      0477	QUITTING BUSINESS DISTRIBUTORS
	      0478	MAJOR CYCLING
	      0479	GENERAL SUPPLIES
	      0480	GENERAL BIKE CORPORATION
	      0481	GETAWAY INN
	      0482	FABRIKAM INC., EAST
	      0483	FITNESS BIKE ACCESSORIES
	      0484	DOWNHILL BICYCLE SPECIALISTS
	      0485	CLAMPS & BRACKETS CO.
	      0486	CONVENIENT BIKE SHOP
	      0487	BIKE EXPERTS
	      0488	BICYCLE ACCESSORIES AND KITS
	      0489	CASH & CARRY BIKES
	      0490	EXTRAORDINARY BIKE WORKS
	      0491	AREA BIKE ACCESSORIES
	      0492	BASIC SPORTS EQUIPMENT
	      0493	VALLEY BICYCLE DISTRIBUTORS
	      0494	WORTHWHILE ACTIVITY STORE
	      0495	TOUGH AND RELIABLE PARTS
	      0496	TOP SPORTS SUPPLY
	      0497	VALLEY TOY STORE
	      0498	QUICK DELIVERY SERVICE
	      0499	RACING SALES AND SERVICE
	      0500	IRREGULARS OUTLET
	      0501	JUMBO BIKES
	      0502	METROPOLITAN BICYCLE SUPPLY
	      0503	METROPOLITAN SALES AND RENTAL
	      0504	HISTORIC BICYCLE SALES
	      0505	HONEST REPAIR SERVICE
	      0506	GREAT BIKES
	      0507	GLOBAL SPORTING GOODS
	      0508	DESIGNER DEPARTMENT STORES
	      0509	FUN TOYS AND BIKES
	      0510	WORLD BIKE DISCOUNT STORE
	      0511	WHEEL GALLERY
	      0512	TINY BIKE BOUTIQUE
	      0513	VILLAGE TOURS
	      0514	RETAIL MALL
	      0515	RURAL BICYCLE SUPPLY
	      0516	SEATS AND SADDLES COMPANY
	      0517	RACING STORE
	      0518	REGIONAL CYCLE SHOP
	      0519	LIST PRICE CATALOG COMPANY
	      0520	METRO METALS CO.
	      0521	MOBILE OUTLET
	      0522	SMALL BIKE ACCESSORIES SHOP
	      0523	FUTURISTIC SPORT DISTRIBUTORS
	      0524	CHAIN AND CHAIN TOOL DISTRIBUTIONS
	      0525	CYCLES AND SCOOTERS
	      0526	FINER SALES AND SERVICE
	      0527	FUN TIMES CLUB
	      0528	ALPINE SKI HOUSE
	      0529	BIG-TIME BIKE STORE
	      0530	VALUABLE BIKE PARTS COMPANY
	      0531	SUNNY PLACE BIKES
	      0532	THE SHOWROOM
	      0533	TENTH BIKE STORE
	      0534	RECOMMENDED BICYCLES
	      0535	SPA AND EXERCISE OUTFITTERS
	      0536	NEXT DOOR CYCLES
	      0537	PREFERABLE BIKES
	      0538	PROSPEROUS TOURS
	      0539	GLOSSY BIKES
	      0540	GUARANTEED SALES AND SERVICE
	      0541	NONSKID TIRE COMPANY
	      0542	FINER PARTS SHOP
	      0543	FRIENDLY NEIGHBORHOOD BIKES
	      0544	VALLEY BICYCLE SPECIALISTS
	      0545	FINISH AND SEALANT PRODUCTS
	      0546	FIELD TRIP STORE
	      0547	CURBSIDE SPORTING GOODS
	      0548	NEW BIKES COMPANY
	      0549	DARING RIDES
	      0550	REMOTE BICYCLE SPECIALISTS
	      0551	VINYL AND PLASTIC GOODS CORPORATION
	      0552	CONSOLIDATED MESSENGER
	      0553	ACCESSORIES NETWORK
	      0554	TOP OF THE LINE BIKES
	      0555	TWIN CYCLES
	      0556	VARIETY CYCLING
	      0557	PURCHASE MART
	      0558	RETAIL SALES AND SERVICE
	      0559	SOME DISCOUNT STORE
	      0560	MAJOR SPORT SUPPLIERS
	      0561	MOUNTAIN TOY STORE
	      0562	PRACTICAL BIKE SUPPLY COMPANY
	      0563	SYSTEMATIC SALES
	      0564	IMPORTED AND DOMESTIC CYCLES
	      0565	METALLIC PAINT AND OVERCOAT CO
	      0566	ECOMMERCE BIKES
	      0567	GLOBAL PLAZA
	      0568	ECONOMY CENTER
	      0569	DESIGNATED DISTRIBUTORS
	      0570	FAMILY'S FAVORITE BIKE SHOP
	      0571	COMMUNITY DEPARTMENT STORES
	      0572	VERSATILE SPORTING GOODS COMPANY
	      0573	NATIONWIDE SUPPLY
	      0574	AREA SHEET METAL SUPPLY
	      0575	BICYCLE OUTFITTERS
	      0576	THE BIKE MECHANICS
	      0577	SYNTHETIC MATERIALS MANUFACTURING
	      0578	THE BIKE SHOP
	      0579	RIDERS COMPANY
	      0580	RURAL SALES AND SERVICE
	      0581	SAFE TOYS
	      0582	PROFESSIONAL SALES AND SERVICE
	      0583	PROFESSIONAL CONTAINERS AND PACKAGING CO.
	      0584	QUALIFIED SALES AND REPAIR SERVICES
	      0585	NEXT-DOOR BIKE STORE
	      0586	ONE BIKE COMPANY
	      0587	OUR SPORTING GOODS STORE
	      0588	GENERAL CYCLE STOREHOUSE
	      0589	HIATUS BIKE TOURS
	      0590	LUSTROUS PAINTS AND COMPONENTS
	      0591	FITNESS DISCOUNT STORE
	      0592	CYCLING GOODS
	      0593	EXPERT SPORTS STORE
	      0594	CASUAL BICYCLE STORE
	      0595	CYCLE CLEARANCE
	      0596	COHO SPORTS
	      0597	ALL SEASONS SPORTS SUPPLY
	      0598	BLACK BICYCLE COMPANY
	      0599	WESTSIDE PLAZA
	      0600	STRENUOUS EXERCISE SHOP
	      0601	TRANSPORT BIKES
	      0602	ULTIMATE BIKE SHOP
	      0603	RETAIL TOY STORE
	      0604	SELLERS OF CYCLES
	      0605	OUTSTANDING CYCLES
	      0606	LITTLE BICYCLE SUPPLY SHOP
	      0607	MAINTENANCE AND REPAIR FOR BICYCLES
	      0608	GOLF AND CYCLE STORE
	      0609	GOOD TOYS
	      0610	FITNESS DEPARTMENT STORES
	      0611	FRONT RUNNER BIKES
	      0612	GENERAL ASSOCIATES
	      0613	FAMOUS BIKE SHOP
	      0614	FAVORITE TOY DISTRIBUTOR
	      0615	FAST SERVICES
	      0616	EASTWARD BIKE ACCESSORIES
	      0617	TUBELESS TIRE COMPANY
	      0618	SEVENTH BIKE STORE
	      0619	STRONG METAL MANUFACTURING
	      0620	TIRES AND TUBES
	      0621	RUNNING AND CYCLING GEAR
	      0622	GIFT AND TOY STORE
	      0623	HARDWARE COMPONENTS
	      0624	FIRST CYCLE STORE
	      0625	MAJOR SPORTING GOODS
	      0626	RETAIL SPORTING GOODS
	      0627	EXCHANGE PARTS INC.
	      0628	EXECUTIVE DISCOUNT STORE
	      0629	EFFICIENT CYCLING
	      0630	EASTSIDE PARTS SHOP
	      0631	TANDEM SALES AND SERVICE
	      0632	ULTIMATE BICYCLE COMPANY
	      0633	RUSTIC BIKE STORE
	      0634	SENSIBLE SPORTS
	      0635	SPORTS STORE
	      0636	RECREATION SYSTEMS
	      0637	RELIABLE RETAIL CENTER
	      0638	METROPOLITAN EQUIPMENT
	      0639	PRODUCER GOODS CLEARINGHOUSE
	      0640	LIQUIDATION SALES
	      0641	EXTENDED TOURS
	      0642	FITNESS SPORT BOUTIQUE
	      0643	FRIENDLY BIKE SHOP
	      0644	CONVENIENT SALES AND SERVICE
	      0645	SUPERIOR HARDWARE DISTRIBUTORS
	      0646	YELLOW BICYCLE COMPANY
	      0647	SOLID BIKE PARTS
	      0648	SMALL BIKE SHOP
	      0649	SPORTS PRODUCTS STORE
	      0650	PERMANENT FINISH PRODUCTS
	      0651	RETREAD TIRE COMPANY
	      0652	SELECTED DISTRIBUTORS
	      0653	MERCANTILE OUTLET
	      0654	ONLINE BIKE WAREHOUSE
	      0655	OPERATIONAL MANUFACTURING
	      0656	IMPERVIOUS PAINT COMPANY
	      0657	LINKS WORKS
	      0658	MASS MARKET BIKES
	      0659	SHIPPING SPECIALISTS
	      0660	EXHILARATING CYCLES
	      0661	GENERAL DEPARTMENT STORES
	      0662	FINER SPORTING GOODS
	      0663	CAPITAL RIDING SUPPLIES
	      0664	EASTSIDE CYCLE SHOP
	      0665	AUTHENTIC SALES AND SERVICE
	      0666	BIKE BOUTIQUE
	      0667	TRADITIONAL DEPARTMENT STORES
	      0668	OFFICIAL PARTS SHOP
	      0669	RACING BIKE OUTLET
	      0670	FIRST BIKE STORE
	      0671	CONTOSO, LTD.
	      0672	UTILITARIAN SPORTING GOODS
	      0673	COUNTRYSIDE COMPANY
	      0674	DISCOUNT TOURS
	      0675	BIKE GOODS
	      0676	BETTER BIKE SHOP
	      0677	TIRE EXCHANGE
	      0678	VIGOROUS EXERCISE COMPANY
	      0679	SUPERB SALES AND REPAIR
	      0680	RACING TOURS
